task_id,fold,method,gold_count,is_multi_skill,retrieved_ids,gold_ids,hit_ids,top1_is_gold,any_gold_coverage,complete_gold_coverage,gold_recall,skill_precision,extra_skill_count,context_tokens_approx,underload
3d-scan-calc,0,bm25_top10,1,0,benchflow-ai--mesh-analysis|benchflow-ai--threejs|doubleslashse--log-analysis|wojons--log-analysis-parsing|ruvnet--agent-mesh-coordinator|schalkneethling--component-usage-analysis|jeremylongshore--scanning-market-movers|annals-ai--agent-mesh-dev|melodic-software--evolution-analysis|HeshamFS--mesh-generation,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,16054,0
3d-scan-calc,0,hybrid_top10,1,0,benchflow-ai--mesh-analysis|HeshamFS--mesh-generation|benchflow-ai--threejs|sickn33--service-mesh-observability|bytedance--material-component-doc|doubleslashse--log-analysis|wojons--log-analysis-parsing|meshjs--mesh-transaction|schalkneethling--component-usage-analysis|rmyndharis--service-mesh-observability,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,16101,0
3d-scan-calc,0,graph_semantic_seed3,1,0,benchflow-ai--mesh-analysis|HeshamFS--mesh-generation|benchflow-ai--threejs|sickn33--service-mesh-observability|bytedance--material-component-doc|doubleslashse--log-analysis|dgalarza--gridfinity-baseplate-planner|wojons--log-analysis-parsing|meshjs--mesh-transaction|schalkneethling--component-usage-analysis,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,15114,0
3d-scan-calc,0,graph_metadata_seed3,1,0,benchflow-ai--mesh-analysis|HeshamFS--mesh-generation|benchflow-ai--threejs|sickn33--service-mesh-observability|bytedance--material-component-doc|doubleslashse--log-analysis|wojons--log-analysis-parsing|meshjs--mesh-transaction|schalkneethling--component-usage-analysis|rmyndharis--service-mesh-observability,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,16101,0
3d-scan-calc,0,graph_all_content_seed3,1,0,benchflow-ai--mesh-analysis|HeshamFS--mesh-generation|benchflow-ai--threejs|sickn33--service-mesh-observability|bytedance--material-component-doc|doubleslashse--log-analysis|dgalarza--gridfinity-baseplate-planner|wojons--log-analysis-parsing|secondsky--threejs|meshjs--mesh-transaction,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,17197,0
3d-scan-calc,0,graph_cv_corequired_seed3,1,0,benchflow-ai--mesh-analysis|HeshamFS--mesh-generation|benchflow-ai--threejs|sickn33--service-mesh-observability|bytedance--material-component-doc|doubleslashse--log-analysis|benchflow-ai--obj-exporter-2|benchflow-ai--obj-exporter-1|wojons--log-analysis-parsing|meshjs--mesh-transaction,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,13706,0
3d-scan-calc,0,graph_cv_all_seed3,1,0,benchflow-ai--mesh-analysis|HeshamFS--mesh-generation|benchflow-ai--threejs|benchflow-ai--obj-exporter-1|benchflow-ai--obj-exporter-2|sickn33--service-mesh-observability|bytedance--material-component-doc|doubleslashse--log-analysis|dgalarza--gridfinity-baseplate-planner|wojons--log-analysis-parsing,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,13651,0
3d-scan-calc,0,graph_cv_all_seed5,1,0,benchflow-ai--mesh-analysis|HeshamFS--mesh-generation|benchflow-ai--threejs|sickn33--service-mesh-observability|bytedance--material-component-doc|benchflow-ai--obj-exporter-1|benchflow-ai--obj-exporter-2|rmyndharis--service-mesh-observability|wshobson--service-mesh-observability|aj-geddes--service-mesh-implementation,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,14073,0
3d-scan-calc,0,graph_cv_prune_top20,1,0,benchflow-ai--mesh-analysis|HeshamFS--mesh-generation|benchflow-ai--threejs|sickn33--service-mesh-observability|bytedance--material-component-doc|doubleslashse--log-analysis|dgalarza--gridfinity-baseplate-planner|wojons--log-analysis-parsing|meshjs--mesh-transaction|schalkneethling--component-usage-analysis,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,15114,0
3d-scan-calc,0,graph_transductive_upper_bound,1,0,benchflow-ai--mesh-analysis|HeshamFS--mesh-generation|benchflow-ai--threejs|benchflow-ai--obj-exporter-1|benchflow-ai--obj-exporter-2|sickn33--service-mesh-observability|bytedance--material-component-doc|doubleslashse--log-analysis|dgalarza--gridfinity-baseplate-planner|wojons--log-analysis-parsing,benchflow-ai--mesh-analysis,benchflow-ai--mesh-analysis,1,1,1,1.0,0.1,9,13651,0
