task,retriever,pool_size,actual_pool_size,repeat,gold_count,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
3d-scan-calc,bm25,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,bm25,100,100,0,5,1.0,1.0,1.0,1.0,0.6,0.8,1.0,1.0,0.975788054854922,1
azure-bgp-oscillation-route-leak,bm25,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,bm25,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,bm25,100,100,0,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,bm25,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
crystallographic-wyckoff-position-analysis,bm25,100,100,0,2,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,bm25,100,100,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
data-to-d3,bm25,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,bm25,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,bm25,100,100,0,4,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1
earthquake-phase-association,bm25,100,100,0,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,bm25,100,100,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,bm25,100,100,0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
energy-ac-optimal-power-flow,bm25,100,100,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
energy-market-pricing,bm25,100,100,0,4,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
