skill_id,name,owner,description,is_gold_union,artifact_roles
01000001-01001110--jira-project-management,jira-project-management,01000001-01001110,"Administer Jira projects. Use when creating/archiving projects, managing components, versions, roles, permissions, or project configuration.",0,{}
0x70626a--monad-wingman,monad-wingman,0x70626a,"Monad blockchain development tutor and builder. Triggers on ""build"", ""create"", ""dApp"", ""smart contract"", ""Solidity"", ""DeFi"", ""Monad"", ""web3"", ""MON"", or any blockchain development task. Covers Foundry-first workflow, Scaffold-Monad, parallel execution EVM, and Monad-specific deployment patterns.",0,{}
0xBigBoss--axe-ios-simulator,axe-ios-simulator,0xBigBoss,"iOS Simulator automation using AXe CLI for touch gestures, text input, hardware buttons, screenshots, video recording, and accessibility inspection. Use when automating iOS Simulator interactions, writing UI tests, capturing screenshots/video, or inspecting accessibility elements. Triggers on iOS Simulator automation, AXe CLI usage, simulator tap/swipe/gesture commands, or accessibility testing tasks.",0,"{""video"": ""consume""}"
0xBigBoss--canton-network-repos,canton-network-repos,0xBigBoss,"Canton Network, DAML, and Splice repository knowledge. Use when working with Canton participants, DAML smart contracts, Splice applications, LF version compatibility, or package ID mismatches. Triggers on Canton, DAML, Splice, decentralized-canton-sync, or LF version queries.",0,{}
0xBigBoss--extract-transcripts,extract-transcripts,0xBigBoss,Extract readable transcripts from Claude Code and Codex CLI session JSONL files,0,"{""json"": ""consume""}"
0xBigBoss--go-best-practices,go-best-practices,0xBigBoss,"Provides Go patterns for type-first development with custom types, interfaces, functional options, and error handling. Must use when reading or writing Go files.",0,{}
0xBigBoss--playwright-best-practices,playwright-best-practices,0xBigBoss,"Provides Playwright test patterns for resilient locators, Page Object Models, fixtures, web-first assertions, and network mocking. Must use when writing or modifying Playwright tests (.spec.ts, .test.ts files with @playwright/test imports).",0,{}
0xBigBoss--react-best-practices,react-best-practices,0xBigBoss,"Provides React patterns for hooks, effects, refs, and component design. Covers escape hatches, anti-patterns, and correct effect usage. Must use when reading or writing React components (.tsx, .jsx files with React imports).",0,{}
0xBigBoss--tamagui-best-practices,tamagui-best-practices,0xBigBoss,"Provides Tamagui patterns for config v4, compiler optimization, styled context, and cross-platform styling. Must use when working with Tamagui projects (tamagui.config.ts, @tamagui imports).",0,{}
0xBigBoss--tilt,tilt,0xBigBoss,"Queries Tilt resource status, logs, and manages dev environments. Use when checking deployment health, investigating errors, reading logs, or working with Tiltfiles.",0,{}
0xBigBoss--web-fetch,web-fetch,0xBigBoss,"Fetches web content as clean markdown by preferring markdown-native responses and falling back to selector-based HTML extraction. Use for documentation, articles, and reference pages at http/https URLs.",0,"{""html"": ""consume"", ""text"": ""consume""}"
0xBigBoss--zig-best-practices,zig-best-practices,0xBigBoss,"Provides Zig patterns for type-first development with tagged unions, explicit error sets, comptime validation, and memory management. Must use when reading or writing Zig files.",0,{}
0xarcano--yellow-best-practices,yellow-best-practices,0xarcano,"Yellow Network and Nitrolite (ERC-7824) development best practices for building state channel applications. Use when building apps with Yellow SDK, implementing state channels, connecting to ClearNodes, managing off-chain transactions, or working with application sessions.",0,{}
0xaxiom--appfactory-builder,appfactory-builder,0xaxiom,"Build and deploy production apps using AppFactory's 7 pipelines (websites, mobile, dApps, AI agents, plugins, mini apps, bots). One prompt → live URL.",0,{}
0xaxiom--remotion,remotion,0xaxiom,"Use when generating or modifying Remotion video code, creating demo videos, or working with the demo-video/ directory",0,"{""video"": ""mention""}"
0xaxiom--uniswap-v4-lp,uniswap-v4-lp,0xaxiom,"Manage Uniswap V4 LP positions on Base. Add, remove, monitor, auto-compound, and harvest fees — including Clanker protocol fee claims.",0,{}
0xbigboss--atlas-best-practices,atlas-best-practices,0xbigboss,"Use when working with atlas.hcl, Atlas CLI commands, schema HCL/SQL files, or migration planning and reviews, including Atlas v1.1 security, data, and exporter capabilities.",0,"{""database"": ""produce""}"
0xbigboss--codex,codex,0xbigboss,"Hand off a task to Codex CLI for autonomous execution. Use when a task would benefit from a capable subagent to implement, fix, investigate, or review code. Codex has full codebase access and can make changes.",0,{}
0xbigboss--data-driven-testing,data-driven-testing,0xbigboss,DEPRECATED: Use testing-best-practices instead. This skill has been retired.,0,{}
0xbigboss--e2e,e2e,0xbigboss,"Run e2e tests, fix flake and outdated tests, identify bugs against spec. Use when running e2e tests, debugging test failures, or fixing flaky tests. Never changes source code logic or API without spec backing.",0,{}
0xbigboss--electrobun-best-practices,electrobun-best-practices,0xbigboss,"Use when building or maintaining Electrobun desktop apps in TypeScript, including electrobun.config.ts, electrobun/bun or electrobun/view imports, BrowserWindow/BrowserView usage, updater flows, and distribution artifacts.",0,{}
0xbigboss--git-best-practices,git-best-practices,0xbigboss,"Git workflow patterns for commits, branching, PRs, and history management across heterogeneous repositories. Use when creating commits, managing branches, opening pull requests, or rewriting history. Do not use for non-git implementation tasks or repo-specific release policy decisions without repository documentation.",0,"{""text"": ""mention""}"
0xbigboss--orbstack-best-practices,orbstack-best-practices,0xbigboss,"Patterns for OrbStack Linux VMs and Docker on macOS. Covers orbctl/orb commands, machine lifecycle, cloud-init, networking, file sharing, and SSH access. Must use when working with OrbStack, orbctl commands, or Linux VMs on macOS.",0,{}
0xdarkmatter--atomise,atomise,0xdarkmatter,"Atom of Thoughts (AoT) reasoning - decompose complex problems into atomic units with confidence tracking and backtracking. For genuinely complex reasoning, not everyday questions. Triggers on: atomise, complex reasoning, decompose problem, structured thinking, verify hypothesis.",0,{}
0xdarkmatter--container-orchestration,container-orchestration,0xdarkmatter,"Docker and Kubernetes patterns. Triggers on: Dockerfile, docker-compose, kubernetes, k8s, helm, pod, deployment, service, ingress, container, image.",0,"{""image"": ""mention""}"
0xdarkmatter--data-processing,data-processing,0xdarkmatter,"Process JSON with jq and YAML/TOML with yq. Filter, transform, query structured data efficiently. Triggers on: parse JSON, extract from YAML, query config, Docker Compose, K8s manifests, GitHub Actions workflows, package.json, filter data.",0,"{""json"": ""consume"", ""yaml"": ""consume""}"
0xdarkmatter--file-search,file-search,0xdarkmatter,"Modern file and content search using fd, ripgrep (rg), and fzf. Triggers on: fd, ripgrep, rg, find files, search code, fzf, fuzzy find, search codebase.",0,{}
0xdarkmatter--git-workflow,git-workflow,0xdarkmatter,"Enhanced git operations using lazygit, gh (GitHub CLI), and delta. Triggers on: stage changes, create PR, review PR, check issues, git diff, commit interactively, GitHub operations, rebase, stash, bisect.",0,{}
0xdarkmatter--markitdown,markitdown,0xdarkmatter,"Convert local documents to Markdown using Microsoft's markitdown CLI. Best for: PDF, Word, Excel, PowerPoint, images (OCR), audio. Can fetch URLs but Jina is faster for web. Triggers on: convert to markdown, read PDF, parse document, extract text from, docx, xlsx, pptx, OCR image, local file.",0,"{""audio"": ""both"", ""image"": ""both"", ""pdf"": ""both"", ""presentation"": ""both"", ""spreadsheet"": ""both"", ""text"": ""both""}"
0xdarkmatter--project-planner,project-planner,0xdarkmatter,"Detects stale project plans and suggests session commands. Triggers on: sync plan, update plan, check status, plan is stale, track progress, project planning.",0,{}
0xdarkmatter--python-typing-patterns,python-typing-patterns,0xdarkmatter,"Python type hints and type safety patterns. Triggers on: type hints, typing, TypeVar, Generic, Protocol, mypy, pyright, type annotation, overload, TypedDict.",0,{}
0xdarkmatter--security-patterns,security-patterns,0xdarkmatter,"Security patterns and OWASP guidelines. Triggers on: security review, OWASP, XSS, SQL injection, CSRF, authentication, authorization, secrets management, input validation, secure coding.",0,"{""database"": ""consume""}"
0xdarkmatter--setperms,setperms,0xdarkmatter,"Set tool permissions for Claude Code. Configures allowed commands, rules, and preferences in .claude/ directory. Triggers on: setperms, init tools, configure permissions, setup project, set permissions, init claude.",0,{}
0xdarkmatter--structural-search,structural-search,0xdarkmatter,"Search code by AST structure using ast-grep. Find semantic patterns like function calls, imports, class definitions instead of text patterns. Triggers on: find all calls to X, search for pattern, refactor usages, find where function is used, structural search, ast-grep, sg.",0,{}
0xhubed--entry-signals,entry-signals,0xhubed,Entry signal patterns with historical success rates. Use when deciding whether to open a position.,0,{}
0xlayerghost--git-workflow,git-workflow,0xlayerghost,"[AUTO-INVOKE] MUST be invoked BEFORE creating git commits, PRs, or code reviews. Covers Conventional Commits, PR templates, review requirements, and AI-assisted development rules. Trigger: any task involving git commit, git push, PR creation, or code review.",0,{}
0xlayerghost--solidity-debug,solidity-debug,0xlayerghost,"[AUTO-INVOKE] MUST be invoked when debugging failed on-chain transactions. Covers transaction receipt analysis, gas diagnosis, calldata decoding, revert reason extraction, and state verification. Trigger: any task involving failed tx analysis, revert debugging, or on-chain transaction troubleshooting.",0,{}
0xlayerghost--solidity-testing,solidity-testing,0xlayerghost,"[AUTO-INVOKE] MUST be invoked BEFORE writing or modifying any test files (*.t.sol). Covers test structure, naming conventions, coverage requirements, fuzz testing, and Foundry cheatcodes. Trigger: any task involving creating, editing, or running Solidity tests.",0,{}
1password--security-awareness,security-awareness,1password,"Teaches AI agents to recognize and avoid security threats during normal activity. Covers phishing detection, credential protection, domain verification, and social engineering defense. Use when building agents that access email, credential vaults, web browsers, or sensitive data.",0,{}
2ykwang--code-history,code-history,2ykwang,"Trace git history of specific code — find when functions, patterns, or files were added, modified, or removed, and explain the intent behind each change.",0,{}
2ykwang--write-pr,write-pr,2ykwang,Analyzes git diff and commit history to write PR title and description based on the project's PR template.,0,{}
401unauthorized--smartthings-edge-driver,smartthings-edge-driver,401unauthorized,"Build and troubleshoot SmartThings Edge device drivers in Lua, including Zigbee, Z-Wave, Matter, LAN, capabilities, device profiles, driver channels, and Edge driver API reference usage.",0,"{""audio"": ""produce""}"
404kidwiz--pdf-skill,pdf-skill,404kidwiz,"Expert in generating, parsing, and manipulating PDF documents using tools like PDFKit, PDF.js, and Puppeteer. Use when creating PDFs, extracting content, merging documents, or filling forms. Triggers include ""PDF"", ""generate PDF"", ""parse PDF"", ""extract PDF"", ""merge PDF"", ""PDF form"", ""PDFKit"".",0,"{""pdf"": ""both"", ""text"": ""both""}"
404kidwiz--pptx-skill,pptx-skill,404kidwiz,"Expert in creating, editing, and automating PowerPoint presentations using python-pptx and PptxGenJS. Use when generating slides programmatically, modifying presentations, or building report automation. Triggers include ""PowerPoint"", ""PPTX"", ""slides"", ""presentation"", ""python-pptx"", ""PptxGenJS"", ""slide deck"".",0,"{""presentation"": ""produce""}"
