task,retriever,distractor_type,pool_size,actual_pool_size,repeat,gold_count,fallback_distractors,hard_negative_purity,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
3d-scan-calc,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,bm25_desc,random,1000,1000,0,5,0,0.0,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
azure-bgp-oscillation-route-leak,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
crystallographic-wyckoff-position-analysis,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.7903864795495061,1
data-to-d3,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dialogue-parser,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
dynamic-object-aware-egomotion,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9709286432396583,1
earthquake-phase-association,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
energy-ac-optimal-power-flow,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
energy-market-pricing,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
enterprise-information-search,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
exceltable-in-ppt,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
exoplanet-detection-period,bm25_desc,random,1000,1000,0,5,0,0.0,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8539316501572937,1
financial-modeling-qa,bm25_desc,random,1000,1000,0,2,0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.38685280723454163,2
find-topk-similiar-chemicals,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-build-agentops,bm25_desc,random,1000,1000,0,4,0,0.0,0.0,1.0,1.0,1.0,0.25,0.25,0.5,0.5,0.3853585682515056,2
fix-build-google-auto,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
fix-druid-loophole-cve,bm25_desc,random,1000,1000,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fix-erlang-ssh-cve,bm25_desc,random,1000,1000,0,6,0,0.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.7751482523375256,1
fix-visual-stability,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
flink-query,bm25_desc,random,1000,1000,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
flood-risk-analysis,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,bm25_desc,random,1000,1000,0,5,0,0.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,1.0,0.3391602052736161,1
invoice-fraud-detection,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7461976723150332,1
jax-computing-basics,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
jpg-ocr-stat,bm25_desc,random,1000,1000,0,5,0,0.0,1.0,1.0,1.0,1.0,0.2,0.2,0.2,1.0,0.3391602052736161,1
lab-unit-harmonization,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,bm25_desc,random,1000,1000,0,4,0,0.0,0.0,1.0,1.0,1.0,0.25,0.25,0.25,0.3333333333333333,0.19519002499605084,3
latex-formula-extraction,bm25_desc,random,1000,1000,0,2,0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5802792108518124,2
lean4-proof,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
manufacturing-equipment-maintenance,bm25_desc,random,1000,1000,0,2,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.5012658353418871,4
manufacturing-fjsp-optimization,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
mario-coin-counting,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mars-clouds-clustering,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
mhc-layer-impl,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
multilingual-video-dubbing,bm25_desc,random,1000,1000,0,6,0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.5,0.6973975865011867,2
offer-letter-generator,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,bm25_desc,random,1000,1000,0,5,0,0.0,0.0,1.0,1.0,1.0,0.2,0.4,0.4,0.3333333333333333,0.30078518014914984,3
paper-anonymizer,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8503449055347546,1
parallel-tfidf-search,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pddl-tpp-planning,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,bm25_desc,random,1000,1000,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.1111111111111111,0.18457569677956817,9
pedestrian-traffic-counting,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
